sector,week,return_5d,return_10d,speech_count,return_time
Auto,2021-03-15/2021-03-21,-0.047257119784546,-0.04279116495770745,1,~1 Week
Auto,2021-03-22/2021-03-28,-0.027005022076686168,-0.03151591465003771,5,~1 Week
Auto,2021-03-29/2021-04-04,0.001336702709135575,-0.009618387060947475,2,~2 Weeks
Auto,2021-04-12/2021-04-18,-0.0210038800138562,-0.02062201077357885,1,~1 Week
Auto,2021-04-19/2021-04-25,-0.014223196888829502,0.0216131546790998,1,~1 Week
Auto,2021-05-03/2021-05-09,0.030072642866656348,0.04975264831306138,2,1-2 Weeks
Auto,2021-05-10/2021-05-16,0.01163231004948205,0.03852797638614653,3,~2 Weeks
Auto,2021-05-17/2021-05-23,0.03324471129404455,0.0597152193420591,1,1-2 Weeks
Auto,2021-05-24/2021-05-30,0.02621239747980266,0.03396171503327158,4,~1 Week
Auto,2021-05-31/2021-06-06,0.020033790781664278,-0.0015173647756943996,2,~1 Week
Auto,2021-06-21/2021-06-27,0.0001246363944621999,-0.01613673192359115,2,~2 Weeks
Auto,2021-06-28/2021-07-04,-0.0068015560288114,-0.018205473876188802,1,1-2 Weeks
Auto,2021-07-05/2021-07-11,-0.007833804968544501,-0.026334763079620148,1,~2 Weeks
Auto,2021-07-19/2021-07-25,-0.029163914154312402,-0.007770191494412751,1,~1 Week
Auto,2021-07-26/2021-08-01,0.0220665314944019,0.0114133282182822,1,~1 Week
Auto,2021-08-02/2021-08-08,-0.010182019426467183,-0.027811731109408083,3,1-2 Weeks
Auto,2021-08-16/2021-08-22,-0.0264918496273236,-0.0094986192107524,1,~1 Week
Auto,2021-08-23/2021-08-29,0.0348748545197923,0.0354400440205169,2,~1 Week
Auto,2021-09-06/2021-09-12,0.0274073383185513,0.02667212217528855,1,~1 Week
Auto,2021-09-20/2021-09-26,0.0231562764174313,0.0655367376936394,2,1-2 Weeks
Auto,2021-09-27/2021-10-03,-0.0164216336301632,0.051541613345222226,2,~2 Weeks
Auto,2021-10-04/2021-10-10,0.050898076698789325,0.03651241596781265,2,~1 Week
Auto,2021-10-11/2021-10-17,-0.0066132825675442,-0.030602219156955282,3,~2 Weeks
Auto,2021-10-18/2021-10-24,-0.022377044425873734,0.00841742734093586,6,~1 Week
Auto,2021-11-08/2021-11-14,0.018648765166816732,-0.0194009564799359,8,~1 Week
Auto,2021-11-15/2021-11-21,-0.05895804498893651,-0.09332054799077702,10,1-2 Weeks
Auto,2021-11-22/2021-11-28,-0.03335003900212894,-0.016499671563529914,7,~1 Week
Auto,2021-11-29/2021-12-05,-0.003387199087187733,0.03768742396806327,6,~2 Weeks
Auto,2021-12-06/2021-12-12,0.00246252034846215,-0.01911252543014683,5,~2 Weeks
Auto,2021-12-13/2021-12-19,-0.0013063269609052501,0.0209898252372069,1,~2 Weeks
Auto,2021-12-20/2021-12-26,0.0223558595889038,0.0717904508153992,1,~2 Weeks
Auto,2022-01-24/2022-01-30,0.0028999390984900775,0.013476161413094899,1,~2 Weeks
Auto,2022-02-14/2022-02-20,-0.03542006759025025,-0.1899667959602208,2,~2 Weeks
Auto,2022-02-21/2022-02-27,-0.09776039270856672,-0.1270560775585913,3,~1 Week
Auto,2022-03-14/2022-03-20,-0.02852744618889475,0.00522604328166435,1,~1 Week
Auto,2022-03-21/2022-03-27,0.008559596626919184,0.027443253072762314,3,~2 Weeks
